UTC,Latitude_raw,Latitude_dir,Longitude_raw,Longitude_dir,speed_raw,heading_raw,seq_num,trig_S,trig_H,trig_D,trig_TO
163026.000000,4437.042450,N,1056.469880,E,35.717000,224.270000,317,0,0,1,0
163026.300000,4437.040320,N,1056.466960,E,35.824000,224.430000,318,0,0,1,0
163026.600000,4437.038200,N,1056.464010,E,35.788000,224.930000,319,0,0,1,0
163026.900000,4437.036080,N,1056.461040,E,35.800000,224.640000,320,0,0,1,0
163027.200000,4437.033970,N,1056.458070,E,35.869000,224.930000,321,0,0,1,0
163027.500000,4437.031850,N,1056.455100,E,35.908000,224.870000,322,0,0,1,0
163027.800000,4437.029730,N,1056.452140,E,35.957000,224.800000,323,0,0,1,0
163028.100000,4437.027610,N,1056.449190,E,35.884000,224.680000,324,0,0,1,0
163028.400000,4437.025480,N,1056.446240,E,35.796000,224.450000,325,0,0,1,0
163028.800000,4437.022680,N,1056.442330,E,35.586000,224.700000,326,0,0,1,0
163029.200000,4437.019880,N,1056.438450,E,35.404000,224.440000,327,0,0,1,0
163029.600000,4437.017080,N,1056.434590,E,35.346000,224.440000,328,0,0,1,0
163029.900000,4437.014970,N,1056.431720,E,35.258000,224.040000,329,0,0,1,0
163030.200000,4437.012850,N,1056.428840,E,35.323000,224.050000,330,0,0,1,0
163030.500000,4437.010730,N,1056.425960,E,35.414000,223.970000,331,0,0,1,0
163030.800000,4437.008610,N,1056.423080,E,35.468000,224.080000,332,0,0,1,0
163031.100000,4437.006470,N,1056.420190,E,35.685000,224.000000,333,0,0,1,0
163031.400000,4437.004340,N,1056.417280,E,35.743000,224.140000,334,0,0,1,0
163031.700000,4437.002190,N,1056.414400,E,35.754000,223.900000,335,0,0,1,0
163032.000000,4437.000050,N,1056.411520,E,35.675000,223.770000,336,0,0,1,0
163032.300000,4436.997890,N,1056.408640,E,35.718000,223.560000,337,0,0,1,0
163032.600000,4436.995740,N,1056.405760,E,35.863000,223.730000,338,0,0,1,0
163032.900000,4436.993590,N,1056.402890,E,35.578000,223.610000,339,0,0,1,0
163033.200000,4436.991440,N,1056.400010,E,35.690000,223.760000,340,0,0,1,0
163033.500000,4436.989270,N,1056.397130,E,35.574000,223.370000,341,0,0,1,0
163033.800000,4436.987110,N,1056.394260,E,35.671000,223.350000,342,0,0,1,0
163034.100000,4436.984950,N,1056.391400,E,35.786000,223.360000,343,0,0,1,0
163034.400000,4436.982780,N,1056.388530,E,35.764000,223.260000,344,0,0,1,0
163034.700000,4436.980610,N,1056.385650,E,35.910000,223.380000,345,0,0,1,0
163035.000000,4436.978460,N,1056.382780,E,35.590000,223.650000,346,0,0,1,0
163035.300000,4436.976320,N,1056.379910,E,35.521000,223.660000,347,0,0,1,0
163035.600000,4436.974180,N,1056.377030,E,35.468000,223.930000,348,0,0,1,0
